Time,GPS_X,GPS_Y,Est_X,Est_Y,Theta
5.376,0.0155273,-0.972953,0.200389,-0.94183,-1.15734
5.44,0.0847543,-1.04174,0.198076,-0.943828,-1.17145
5.504,0.131657,-1.03188,0.196748,-0.945589,-1.18557
5.568,0.0893392,-0.931618,0.194622,-0.945369,-1.19968
5.632,0.115181,-0.877362,0.193011,-0.94395,-1.21379
5.696,0.0743554,-0.972538,0.190638,-0.944521,-1.2279
5.76,0.0408777,-0.952715,0.187643,-0.944685,-1.24201
5.824,0.0691415,-0.882138,0.185273,-0.943434,-1.25612
5.888,0.101015,-0.919096,0.183607,-0.943008,-1.27024
5.952,0.138999,-0.988439,0.182697,-0.943856,-1.28435
6.016,0.0788014,-0.987652,0.180619,-0.944732,-1.29846
6.08,0.0405796,-0.883867,0.177818,-0.943514,-1.31257
6.144,-0.0814725,-0.869787,0.172632,-0.94204,-1.32668
6.208,0.0906333,-0.92588,0.171007,-0.941778,-1.34079
6.272,0.114309,-0.929166,0.169859,-0.941464,-1.3549
6.336,0.135909,-1.00144,0.16918,-0.942664,-1.36902
6.4,0.0221002,-0.843855,0.166238,-0.940688,-1.38313
6.464,0.132282,-1.00327,0.165559,-0.941939,-1.39724
6.528,0.0835244,-0.902914,0.163929,-0.941221,-1.41135
6.592,-0.0130475,-0.966347,0.16038,-0.941661,-1.42546
6.656,0.192639,-0.914091,0.161025,-0.94111,-1.43957
6.72,0.0641973,-0.907778,0.159089,-0.940443,-1.45368
6.784,-0.0033652,-0.901894,0.15584,-0.939672,-1.46779
6.848,0.191207,-0.927599,0.156552,-0.939494,-1.4819
6.912,0.0615045,-1.05205,0.154647,-0.941682,-1.49601
6.976,-0.0132806,-0.801634,0.151288,-0.938881,-1.51012
7.04,-0.0271436,-0.972716,0.14772,-0.939558,-1.52423
7.104,0.102613,-0.852197,0.146818,-0.93781,-1.53834
7.168,0.0238784,-0.893129,0.14436,-0.93698,-1.55245
7.232,0.112106,-0.910966,0.143715,-0.936396,-1.56656
7.296,0.0673718,-0.933965,0.142188,-0.936348,-1.58067
7.36,0.0629765,-0.914183,0.140603,-0.935905,-1.59478
7.424,0.056373,-0.9414,0.138899,-0.936834,-1.59478
7.488,-0.013918,-0.893539,0.135823,-0.936788,-1.59478
7.552,0.117735,-0.917806,0.135443,-0.937165,-1.59478
7.616,-0.0664534,-0.995058,0.131384,-0.939206,-1.59478
7.68,-0.107681,-0.889408,0.126585,-0.938967,-1.59478
7.744,0.0822196,-0.941318,0.125678,-0.939834,-1.59478
7.808,0.0604329,-0.935651,0.124353,-0.94057,-1.59478
7.872,0.12669,-0.942374,0.124382,-0.941363,-1.59478
7.936,0.0716498,-0.935482,0.123306,-0.942128,-1.59478
8,0.0875099,-0.944599,0.122572,-0.942934,-1.59478
8.064,0.0183296,-1.00694,0.120467,-0.945034,-1.59478
8.128,0.0891532,-0.89563,0.119821,-0.944866,-1.59478
8.192,0.00454274,-0.88044,0.117498,-0.944334,-1.59478
